words,frequency,polarity
hell,2,negative
struggling,1,negative
oppose,1,negative
negative,1,negative
stressful,1,negative
dying,1,negative
impediment,1,negative
failed,49,negative
breakdown,5,negative
mar,5,negative
chaotic,1,negative
unemployed,2,negative
deny,1,negative
epidemic,2,negative
fail,2,negative
poor,3,negative
fever,1,negative
excuse,1,negative
liars,1,negative
breach,4,negative
neglect,1,negative
bad,6,negative
cheating,1,negative
attack,2,negative
threat,6,negative
crisis,11,negative
farcical,1,negative
hate,1,negative
cracks,1,negative
lose,2,negative
wasted,1,negative
crazy,3,negative
limit,8,negative
strike,7,negative
degrading,1,negative
death,3,negative
plea,1,negative
wild,1,negative
worse,2,negative
fears,1,negative
slow,2,negative
unfounded,2,negative
lack,9,negative
cheap,16,negative
infected,1,negative
wrong,1,negative
picket,3,negative
rip,1,negative
stooge,1,negative
cancer,2,negative
irregular,1,negative
steal,2,negative
fall,19,negative
ire,1,negative
breaking,11,negative
embarrassing,2,negative
complaint,6,negative
rail,16,negative
stupidest,1,negative
pan,1,negative
infection,1,negative
virus,41,negative
refuses,1,negative
shaky,1,negative
violent,1,negative
rejected,1,negative
doubt,2,negative
denies,1,negative
impoverished,137,negative
worried,3,negative
frantically,1,negative
protests,1,negative
restricted,1,negative
allegation,1,negative
worry,1,negative
complain,1,negative
reckless,1,negative
terrible,3,negative
orphan,1,negative
fuck,1,negative
discrimination,1,negative
inconsistency,1,negative
shit,26,negative
sadly,2,negative
regret,1,negative
sad,3,negative
scary,1,negative
disagree,1,negative
waste,1,negative
problem,6,negative
deaf,9,negative
fatigue,3,negative
poverty,1,negative
died,43,negative
insanity,1,negative
brutal,3,negative
plague,3,negative
dust,1,negative
scare,2,negative
lacks,1,negative
isolated,2,negative
unbelievably,1,negative
failing,2,negative
joke,1,negative
chronic,1,negative
messed,1,negative
murder,3,negative
missed,1,negative
rigid,1,negative
stuck,1,negative
suffer,11,negative
cloud,1,negative
issues,6,negative
false,5,negative
kills,1,negative
break,29,negative
displaced,2,negative
stupid,3,negative
warning,1,negative
sham,1,negative
hostage,1,negative
criticism,3,negative
ignorance,2,negative
